GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Schema2Script,exception,FileUploadException,11,0,0,0,4,0,2,0,2,0
Schema2Script,exception,SchemaParsingException,6,5,0,0,2,2,1,1,1,1
Schema2Script,exception,SqlGenerationException,5,0,0,0,2,0,1,0,1,0
Schema2Script,view,SchemaView,3,0,0,0,1,0,1,0,1,0
Schema2Script,view,SchemaApp.FxSchemaView,53,0,2,0,15,0,5,0,4,0
Schema2Script,view,SchemaApp,139,0,2,0,28,0,6,0,5,0
Schema2Script,controller,SchemaController,130,0,12,0,37,0,11,0,5,0
Schema2Script,model,JSONParser,35,134,6,14,8,32,6,7,0,3
Schema2Script,model,SchemaObject,12,28,2,4,2,9,3,4,1,3
Schema2Script,model,ParserFactory,56,0,7,0,12,0,7,0,3,0
Schema2Script,model,SchemaValidator,17,68,7,13,4,16,7,5,0,2
Schema2Script,model,MySQLGenerator,33,220,4,28,8,51,5,21,1,8
Schema2Script,model,SchemaModel,5,12,1,1,1,5,1,3,0,3
Schema2Script,model,XmlParser,13,98,0,6,3,21,0,6,0,3
Schema2Script,model,SchemaParser,36,4,6,0,12,1,6,1,3,1
Schema2Script,main,Main,6,0,0,0,3,0,2,0,2,0
